sample_no,evaluator,erfahrung,F1_titel,F2_zusammenfassung,F3_klassifikation,F4_praxisnutzen,mittelwert,kommentar
1,E1,26 J. Entw./Modern.,5,5,5,4,"4,75",Klassisches Datei-Status-Idiom (NOT='00'). Titel und Summary korrekt; IDIOM_PATTERN passt eindeutig.
1,E2,18 J. Entw./Modern.,5,5,5,4,"4,75","Sehr typisches FILE-STATUS-Muster. Einordnung als Idiom korrekt, kein eigenstaendiger Fachbezug."
1,E3,5 J. Modern.,5,4,5,4,"4,50",Korrekt. Zwei nahezu identische Belege bestaetigen das Idiom; Summary leicht generisch.
1,E4,4 J. Entw.,4,4,5,4,"4,25","Standard-Fehlerbehandlung beim OPEN. IDIOM_PATTERN klar, Praxisnutzen solide."
1,E5,"1,5 J. Modern. (Junior)",4,4,5,3,"4,00","Klassifikation klar. Titel ok; Nutzen eher mittel, da sehr haeufiges Boilerplate."
2,E1,26 J. Entw./Modern.,5,5,5,5,"5,00","SQLCODE-Check mit Return-Code, PERFORM und Fehlerausgabe: klares Routing -> CFT korrekt."
2,E2,18 J. Entw./Modern.,5,5,5,4,"4,75",Mehrere Aktionswege (Code setzen + Routine). CFT statt reinem Idiom gut begruendet.
2,E3,5 J. Modern.,4,5,4,4,"4,25","CFT vertretbar; Grenze zu IDIOM_PATTERN, da Aktionsblock mehrere Schritte hat."
2,E4,4 J. Entw.,4,4,4,4,"4,00","Korrekt. EXEC_BLOCK_STUB im Beleg verdeckt etwas Kontext, aber Einordnung tragfaehig."
2,E5,"1,5 J. Modern. (Junior)",4,4,4,3,"3,75",CFT ok. Der STUB-Platzhalter macht den dritten Beleg weniger aussagekraeftig.
3,E1,26 J. Entw./Modern.,4,3,3,3,"3,25",Beleg 1 (EOM bei Datumsgleichheit) ist plausibel fachlich. ABER Beleg 2/3 (WEB-SCHEME/HTTPMETHOD) gehoeren thematisch nicht dazu -> Summary deckt nur Beleg 1.
3,E2,18 J. Entw./Modern.,4,3,3,3,"3,25","Titel passt zu Beleg 1, doch die mitgelieferten Belege 2/3 sind technische CICS-Auth-Checks; BRC nur fuer Beleg 1 haltbar."
3,E3,5 J. Modern.,4,2,3,3,"3,00","Inkonsistente Beleggruppe: Summary beschreibt EOM, Belege 2/3 zeigen Authentifizierung. F2 niedrig."
