#,id,end_line,kind,parse_mode,program_id,snippet,start_line
1,1,34,IF,FULL,891,"if ls-idx-y > 0 and ls-idx-x > 0
            and ls-idx-y < ws-max-map-height
            and ls-idx-x < ws-max-map-width then
                set l-is-explored(
                    ls-idx-y  ls-idx-x) to true
            end-if",29
2,2,13,IF,FULL,903,"IF M-TRUE
    DISPLAY 'Passed with ' M-NUMBER ' marks'",12
3,3,15,IF,FULL,903,"IF M-FALSE
    DISPLAY 'FAILED with ' M-NUMBER ' marks'",14
4,4,20,IF,FULL,905,"IF NUM01 <= NUM02 THEN
      DISPLAY ""IS NOT LESS""
      IF NUM03 >= NUM04 THEN
        DISPLAY ""IS GREATER""
      ELSE
        DISPLAY ""IS NOT GREATER""
      END-IF
    ELSE
      DISPLAY ""IS LESS""
    END-IF",11
5,5,17,IF,FULL,905,"IF NUM03 >= NUM04 THEN
        DISPLAY ""IS GREATER""
      ELSE
        DISPLAY ""IS NOT GREATER""
      END-IF",13
6,6,28,IF,FULL,906,"IF FILE-STATUS NOT = ""00""
      DISPLAY ""Error opening the DB file  program will exit.""
      GOBACK
    END-IF",25
7,7,12,IF,FULL,909,"IF STR01 IS ALPHABETIC THEN
      DISPLAY ""STR01 IS ALPHABETIC""
    END-IF",10
8,8,15,IF,FULL,909,"IF NUM01 IS NUMERIC THEN
      DISPLAY ""NUM01 IS NUMERIC""
    END-IF",13
9,9,20,IF,FULL,909,"IF STR01 IS NUMERIC THEN
      DISPLAY ""STR01 IS NUMERIC""
    ELSE
      DISPLAY ""STR01 ISNT NUMERIC IS ALPHABETIC""
    END-IF",16
10,10,15,IF,FULL,910,"IF NUM01 IS LESS THAN NUM02 AND NUM01 = NUM03 THEN
      DISPLAY ""I AM HERE ""
    ELSE
      DISPLAY ""I AM HERE :( ""
    END-IF",11
11,11,17,EVALUATE,FULL,911,"EVALUATE TRUE
      WHEN NUM01 > 2
        DISPLAY ""NUMBER01 GREATER THAN 2""
      WHEN NUM01 < 0
        DISPLAY ""NUMBER01 LESS THAN 0""
      WHEN OTHER
        DISPLAY ""INVALID VALUE OF NUMBER01""
    END-EVALUATE",10
12,12,31,IF,FULL,912,"IF FILE-STATUS not = ""00""
      DISPLAY ""Error opening the DB file  program will exit.""
      GOBACK
    END-IF",28
13,13,14,IF,FULL,914,"IF NOT NUM01 IS LESS THAN NUM02 THEN
      DISPLAY ""I AM HERE : IF ""
    ELSE
      DISPLAY ""I AM HERE : ELSE""
    END-IF",10
14,14,14,IF,FULL,916,"IF NUM01 IS GREATER THAN OR EQUAL TO NUM02 THEN
      DISPLAY 'NUMBER01 IS GREATER OR EQUAL THAN NUMBER02'
    ELSE
      DISPLAY 'NUMBER01 IS LESS THAN NUMBER02'
    END-IF",10
15,15,35,IF,FULL,918,"IF FILE-STATUS NOT = '00'
        MOVE FILE-STATUS TO ERROR-LEVEL
        MOVE ""ERROR OPENING FILE : "" TO ERROR-MSG
            PERFORM ERROR-MESSAGE
            PERFORM END-PROGRAM
    END-IF",30
16,16,12,IF,FULL,924,"IF NUM01 IS POSITIVE THEN
      DISPLAY 'NUM01 IS POSITIVE'
    END-IF",10
17,17,15,IF,FULL,924,"IF NUM01 IS NEGATIVE THEN
      DISPLAY 'NUM01 IS NEGATIVE'
    END-IF",13
18,18,18,IF,FULL,924,"IF NUM02 IS ZERO THEN
      DISPLAY 'NUM02 IS ZERO'
    END-IF",16
19,19,21,IF,FULL,924,"IF NUM02 IS POSITIVE THEN
      DISPLAY 'NUM02 IS POSITIVE'
    END-IF",19
20,20,24,IF,FULL,924,"IF NUM03 IS ZERO THEN
      DISPLAY 'NUM03 IS ZERO'
    END-IF",22
21,21,27,IF,FULL,924,"IF NUM03 IS POSITIVE THEN
      DISPLAY 'NUM03 IS POSITIVE'
    END-IF",25
22,22,25,IF,PROCEDURE_ONLY,927,"IF W-ARR > W-ARR
          MOVE W-J TO W-MIN
        END-IF",23
23,23,321,IF,FULL,928,"IF GOOD-PARM
       PERFORM 9200-INIT
       PERFORM 8000-READ-INPUT
            UNTIL RECORDS-READ = START-NUMBER
            OR END-OF-FILE
       PERFORM 1000-PROCESS-DATA
             UNTIL END-OF-FILE
       PERFORM 6000-PRINT-EMPLOYEE-REPORT
       MOVE 1 TO REGION-SUB
       IF END-OF-MONTH
           PERFORM 7000-PRINT-REGION-REPORT
                 UNTIL REGION-SUB > 4",310
24,24,321,IF,FULL,928,"IF END-OF-MONTH
           PERFORM 7000-PRINT-REGION-REPORT
                 UNTIL REGION-SUB > 4",319
