#,id,canonical_key,kind,condition_norm,then_norm,else_norm,has_else,occurrences,min_complexity,max_complexity,avg_complexity
1,1,c93ccc47950366ec98dfef634fbdd2b2f8ecc8d70f8a279af36af88f4427975d,IF,H1 = <N> AND H2 = <N>,PERFORM GOOD,PERFORM BAD,TRUE,9,2,2,2
2,2,26937aa8b86606a87595a26520ca13f1e0e2f9dbe4437a75df133e6abcc206f8,IF,DB1 = G1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
3,3,e7660c05f4f0cd3a40012bcbd0167b8d043bff3ab08a8a158ba2b08fa82368d3,IF,H3 = Q1,PERFORM G,PERFORM B,TRUE,6,1,1,1
4,4,2c353407f7a4945980659859156abdd4473628f37b88378975da2f97fa92c9ed,IF,SQLCODE NOT = <N>,DISPLAY <S> DISPLAY <S> MOVE SQLCODE TO DISPLAYSQLCODE DISPLAY <S> DISPLAYSQLCODE DISPLAY DTABLEPREPARE GOBACK,,FALSE,1,3,3,3
5,5,a7f94fc913c9c62debc4be7d1b9d84ffb8377f041dcc7a748c474d869fce1e95,IF,SQLCODE = <N>,IF VINO = <S> MOVE <S> TO MESSAGEOUT ELSE MOVE <S> TO MESSAGEOUT END-IF,,FALSE,1,1,1,1
6,6,9d3e1c8957f68ad554a573643b667bc1987d039d602f14a672d948817400fbc3,IF,ZIPF = DFHBMCUR OR ZIPF = DFHBMEF,MOVE <S> TO CURSO GO TO GUI6PROC,,FALSE,1,2,2,2
7,7,86e3e122ad96105a95b180c052a1592309b9bdb2e7d4a7db0e3c553b6f72d92a,IF,G1 = F1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
8,8,98a31c941a2af5fdb7158da0439efa437817360676f283359467bf6005deb8c2,IF,NOT END-OF-EXPECTED,READ EXPECTED-RESULT-FILE AT END SET END-OF-EXPECTED TO TRUE NOT AT END ADD <N> TO EXPECTED-LINE-NUMBER END-READ,,FALSE,1,1,1,1
9,9,bfdb3237b608ce6e209ec8d3ec9dcb6563a721a354cf9b612ef972f582d47699,IF,LH3 = H1,PERFORM GOOD,PERFORM BAD,TRUE,2,1,1,1
10,10,894b228a297cb38fcbe529d5388c3c456f1897c37e8636fdca980f799f9a65f0,IF,G1 = EB1,PERFORM GOOD,PERFORM BAD,TRUE,3,1,1,1
