#,id,complexity_score,condition_norm,else_norm,else_stmt_count,end_line,has_else,kind,parse_mode,program_id,start_line,then_norm,then_stmt_count,subject_norm,canonical_key,when_norm,abstract_canonical_key,abstract_predicate,abstract_then,abstract_else
1,3078,1,EB1 = Z1,PERFORM BAD,1,86,true,IF,FULL,1670,86,PERFORM GOOD,1,,50d4503244343af855cd368e6ba95bc0a637911f34c4077b0645d5fd5d46ed7b,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
2,3079,1,DB1 = EH1,PERFORM BAD,1,87,true,IF,FULL,1670,87,PERFORM GOOD,1,,9a48895e95a3e3154b623cb80258c94c4b1d07b5ba03d3e0d107a1f26a6e2066,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
3,3080,1,DB1 = DH1,PERFORM BAD,1,88,true,IF,FULL,1670,88,PERFORM GOOD,1,,6993e31105b9632d1d5db651abff0fbef97219f76a0839b5a9ee2b8e924f877c,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
4,3081,1,DB1 = LH1,PERFORM BAD,1,89,true,IF,FULL,1670,89,PERFORM GOOD,1,,00c1e48397d4733ee0d64f2f7c3b83596895c2f543f58ed14fb225d4703bb3e0,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
5,3082,1,DB1 = EB1,PERFORM BAD,1,90,true,IF,FULL,1670,90,PERFORM GOOD,1,,6b4b0d239587108b1e38a23146523554092025fbd077f55ca99539558d833490,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
6,3083,1,DB1 = DB1,PERFORM BAD,1,91,true,IF,FULL,1670,91,PERFORM GOOD,1,,af8bbcb83d056ad6d4c3d8402db5534a82fe29c30a6a604e34683a7d110d37bb,,848c2d68b3b9bf824a0bb4cf01cbd87fa61a67fd6e6e0314a0375e58281c34d7,VAR1 = VAR1,PERFORM VAR2,PERFORM VAR3
7,3084,1,DB1 = LB1,PERFORM BAD,1,92,true,IF,FULL,1670,92,PERFORM GOOD,1,,278a8574f223326e9798094dcd813b25f2411d6f24b09d4e7a6958b786eaa5c5,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
8,3085,1,DB1 = ED1,PERFORM BAD,1,93,true,IF,FULL,1670,93,PERFORM GOOD,1,,3d942f2f0b4936ff6226a474f4c9f7d4aabfa0e7c3d57ab01524e77f0f71e254,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
9,3086,1,DB1 = DD1,PERFORM BAD,1,94,true,IF,FULL,1670,94,PERFORM GOOD,1,,1b8ccda8783854614bbbf2ae2a03a08eb00eafbe05d5e21e54bdc3b86370cd5b,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
10,3087,1,DB1 = LD1,PERFORM BAD,1,95,true,IF,FULL,1670,95,PERFORM GOOD,1,,02440b164f88c82ecd008ca6028720bb35ca0f3e1e78b052210a5bfdf6b7f995,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
11,3088,1,DB1 = F1,PERFORM BAD,1,96,true,IF,FULL,1670,96,PERFORM GOOD,1,,e11e05bbef55e5d5efac5518b3e6d7f3a4dbf5d5e8dd989f9a7b442b2a64e8d1,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
12,3089,1,DB1 = G1,PERFORM BAD,1,97,true,IF,FULL,1670,97,PERFORM GOOD,1,,26937aa8b86606a87595a26520ca13f1e0e2f9dbe4437a75df133e6abcc206f8,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
13,3090,1,DB1 = H1,PERFORM BAD,1,98,true,IF,FULL,1670,98,PERFORM GOOD,1,,5182400767ae6d4f618893cd94fb8de2bd888f16fde68a2b3ddaa815fb93c395,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
14,3091,1,DB1 = P1,PERFORM BAD,1,99,true,IF,FULL,1670,99,PERFORM GOOD,1,,c2625d1c58fc9d93b1da78075b758b93bf37ecf0d85dd178ee7608ea6e5aadf7,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
15,3092,1,DB1 = Q1,PERFORM BAD,1,100,true,IF,FULL,1670,100,PERFORM GOOD,1,,ab4bd23ae0beb6d07da226ddf5bb412e7d163540c3d64cfbc4950ba6d48ec486,,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,VAR1 = VAR2,PERFORM VAR3,PERFORM VAR4
