#,sample_no,kind,pattern,title,rule_summary,raw_snippets_for_form
1,1,IF,IDIOM_PATTERN,Fehlerbehandlung bei Dateiöffnungsstatus,"Das Muster prüft, ob ein Dateistatus ungleich ""00"" ist. Bei Fehler wird eine Fehlermeldung ausgegeben und das Programm beendet. Es handelt sich um eine technische Fehlerbehandlung beim Dateiöffnen.","Quelltextbeleg 1:
IF FILE-STATUS NOT = ""00""
      DISPLAY ""Error opening the DB file  program will exit.""
      GOBACK
    END-IF

Quelltextbeleg 2:
IF FILE-STATUS not = ""00""
      DISPLAY ""Error opening the DB file  program will exit.""
      GOBACK
    END-IF"
2,2,IF,CONTROL_FLOW_TEMPLATE,Fehlerbehandlung bei SQL-Code-Abfrage,"Prüft, ob ein SQL-Code ungleich Null ist und behandelt dann einen Fehlerfall. Dabei wird ein Fehlercode gesetzt und eine Fehlerausgabe ausgeführt. Dies dient der Fehlererkennung nach Datenbankoperationen.","Quelltextbeleg 1:
IF SQLCODE NOT EQUAL 0
        MOVE '90' TO CA-RETURN-CODE
        PERFORM WRITE-ERROR-MESSAGE
DISPLAY ""EXEC_BLOCK_STUB""
      END-IF

Quelltextbeleg 2:
IF SQLCODE NOT EQUAL 0 Then
        MOVE '90' TO CA-RETURN-CODE
        PERFORM WRITE-ERROR-MESSAGE
DISPLAY ""EXEC_BLOCK_STUB""
    END-IF

Quelltextbeleg 3:
IF SQLCODE NOT EQUAL 0
      MOVE '98' TO D2-RETURN-CODE
      PERFORM WRITE-ERROR-MESSAGE
DISPLAY ""EXEC_BLOCK_STUB""
    END-IF"
3,3,IF,BUSINESS_RULE_CANDIDATE,Ende-des-Monats-Status bei Datumsgleichheit,"Wenn das aktuelle Tagesdatum mit dem Laufdatum übereinstimmt, wird ein End-der-Monat-Status gesetzt. Dies kennzeichnet das Erreichen des Monatsendes im Programmablauf. Die Regel steuert eine Statusmarkierung basierend auf dem Datum.","Quelltextbeleg 1:
IF DATE-DD = RUN-DD
              MOVE 'Y' TO EOM-SW

Quelltextbeleg 2:
IF  WEB-SCHEME EQUAL DFHVALUE
        MOVE 'N'                TO AUTHENTICATE

Quelltextbeleg 3:
IF  WEB-HTTPMETHOD  EQUAL WEB-HTTP-GET
            MOVE 'Y' TO USER-ACCESS"
4,4,IF,CONTROL_FLOW_TEMPLATE,Verarbeitung nach Mitarbeitertyp steuern,"Das Muster unterscheidet die Verarbeitung basierend auf dem Mitarbeitertyp. Bei Mitarbeitertyp ""S"" wird die Verkaufsverarbeitung ausgeführt. Bei Mitarbeitertyp ""M"" erfolgt die Managementverarbeitung.","Quelltextbeleg 1:
IF EMP-TYPE EQUAL 'S'
        PERFORM 1000-PROCESS-SALES
    ELSE
        IF EMP-TYPE EQUAL 'M'
            PERFORM 2000-PROCESS-MANAGEMENT"
5,5,IF,DATA_VALIDATION,Prüfung von Feldkombinationen auf Fehlerzustand,Diese Regel prüft Kombinationen von zwei Feldern auf bestimmte Zeichenwerte. Bei Erfüllung der Bedingungen wird ein Fehlerindikator gesetzt. Die Struktur behandelt mehrere Fälle mit ähnlichen Prüfungen und setzt jeweils denselben Fehlerstatus.,"Quelltextbeleg 1:
IF X = ' ' AND Y <> ' ' THEN
          MOVE 1 TO WRONG
        ELSE IF X = ' ' AND Y <> ' ' THEN
          MOVE 1 TO WRONG
        ELSE IF X = '>' AND Y <> '<' THEN
          MOVE 1 TO WRONG
        END-IF
      END-IF"
6,6,IF,DATA_VALIDATION,Prüfung und Zählung fehlerhafter Werte,"Die Regel prüft, ob ein bestimmter Wert ungleich Null ist. Bei Erfüllung wird eine Fehlermeldung ausgegeben und ein Fehlerzähler erhöht. Dies dient der Erkennung und Zählung fehlerhafter Werte.","Quelltextbeleg 1:
IF WS-EXPONENT NOT = ZERO THEN
         DISPLAY ""  *** INCORRECT EXPONENT ***""
         ADD 1 TO WS-FAILED-COUNT
     END-IF"
7,7,IF,OTHER,Zuweisung basierend auf Wertvergleich,"Das Muster prüft, ob zwei Werte ungleich sind und weist je nach Ergebnis einen von zwei Werten zu. Es handelt sich um eine einfache Zuweisungsentscheidung basierend auf einem Vergleich. Die fachliche Bedeutung ist aus dem Code nicht eindeutig ableitbar.","Quelltextbeleg 1:
IF wc-cur-maxdeltagare NOT = wc-cur-maxdeltagare
        MOVE wc-lokalnamn TO jlokal-maxdeltagare
    ELSE
        MOVE wc-cur-maxdeltagare TO jlokal-maxdeltagare
    END-IF"
8,8,IF,CONTROL_FLOW_TEMPLATE,Fehlerbehandlung bei Antwortabweichung,"Das Muster prüft, ob eine Antwort ungleich einer erwarteten Antwort ist. Bei Ungleichheit werden Fehlerbehandlung, Rollback und Statusaktualisierung durchgeführt. Anschließend erfolgt eine Rückkehr aus der Prozedur.","Quelltextbeleg 1:
IF  EIBRESP NOT EQUAL DFHRESP
        MOVE FC-WRITE                TO FE-FN
        MOVE '4400'                  TO FE-PARAGRAPH
        PERFORM 9100-FILE-ERROR    THRU 9100-EXIT
        PERFORM 9999-ROLLBACK      THRU 9999-EXIT
        MOVE EIBDS              TO HTTP-FILE-ERROR
        MOVE HTTP-FILE-ERROR         TO HTTP-507-TEXT
        MOVE HTTP-FILE-LENGTH        TO HTTP-507-LENGTH
        PERFORM 9800-STATUS-507    THRU 9800-EXIT
        PERFORM 9000-RETURN        THRU 9000-EXIT"
9,9,IF,IDIOM_PATTERN,Prüfung und Übernahme nicht-leerer Eingabefelder,"Prüft, ob ein Eingabefeld nicht leer ist, und setzt dann ein Flag sowie eine Ausgabefeldvariable. Diese Struktur dient der Übernahme von Eingabedaten in Ausgabefelder bei vorhandenen Werten. Es handelt sich um eine einfache Datenübernahme bei gültiger Eingabe.","Quelltextbeleg 1:
IF IN-FIRST-NAME NOT = SPACES
        MOVE 1 TO SET-DATA-FLAG
        MOVE IN-FIRST-NAME TO IO-FIRST-NAME
      END-IF

Quelltextbeleg 2:
IF IN-EXTENSION  NOT = SPACES
        MOVE 1 TO SET-DATA-FLAG
        MOVE IN-EXTENSION  TO IO-EXTENSION
      END-IF

Quelltextbeleg 3:
IF IN-ZIP-CODE   NOT = SPACES
        MOVE 1 TO SET-DATA-FLAG
        MOVE IN-ZIP-CODE   TO IO-ZIP-CODE
      END-IF"
10,10,EVALUATE,DATA_VALIDATION,Validierung der Eingabeoption mit Fehlermeldung,"Das Muster prüft, ob eine Eingabeoption ungleich einem bestimmten Wert ist und gibt eine Fehlermeldung aus. Es dient der Validierung der Eingabeoption vor weiterer Verarbeitung. Die Meldung fordert zur Eingabe einer korrekten Option auf.","Quelltextbeleg 1:
EVALUATE WRK-OPCAO
    WHEN OTHER IF WRK-OPCAO NOT EQUAL 'X' DISPLAY 'ENTRE COM OPCAO CORRETA' END-IF
END-EVALUATE"
