#,abstract_canonical_key,kind,title,rule_summary,pattern,confidence,model,prompt_version
1,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,IF,Gleichheitsprüfung mit alternativen Abläufen,"Das Muster prüft, ob zwei Werte gleich sind, und führt je nach Ergebnis unterschiedliche Verarbeitungsroutinen aus. Es handelt sich um eine einfache Gleichheitsprüfung mit zwei alternativen Abläufen. Die Entscheidung steuert den Programmfluss basierend auf dem Vergleich.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
2,02f746ab8eeefe9991858fde9284fa87a543c1b7eb6b3ef1ac62e2f17d7b1aca,IF,Gleichheitsprüfung mit bedingtem Ablauf,"Das Muster prüft, ob ein bestimmtes Feld einen festen numerischen Wert hat. Je nach Ergebnis wird eine von zwei Verarbeitungsroutinen ausgeführt. Es handelt sich um eine einfache Gleichheitsprüfung mit bedingtem Ablauf.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
3,01cccfc532f2e3b78433c948867e1626b0102b056a5e248312ddac201226ba06,EVALUATE,Programmflusssteuerung über Antwortcode,Das Muster steuert den Programmfluss basierend auf einem Antwortcode. Bei Übereinstimmung mit einem bestimmten Antwortwert wird ein Sprung zu einer definierten Verarbeitungsroutine ausgeführt. Es handelt sich um eine technische Ablaufsteuerung ohne weitere fachliche Logik.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
4,848c2d68b3b9bf824a0bb4cf01cbd87fa61a67fd6e6e0314a0375e58281c34d7,IF,Technische Steuerung zweier Verarbeitungswege,"Das Muster prüft eine Bedingung, die immer wahr ist, und führt daraufhin eine positive Aktion aus. Im negativen Fall wird eine alternative Aktion ausgeführt. Die Struktur dient zur Steuerung von zwei unterschiedlichen Verarbeitungspfaden.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
5,4c3c6b0cf8051a2e3a99314d608f231eda25dc6bd7a9ec046f39e860c684325f,IF,Prüfung auf Null mit zwei Folgeaktionen,"Das Muster prüft, ob ein Zähler oder Statuswert null ist. Je nach Ergebnis wird eine positive oder negative Folgeaktion ausgeführt. Es handelt sich um eine einfache Statusprüfung mit zwei alternativen Abläufen.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
6,565a0c8e57e66f57ac8b6528f320d68a2dcf7bc8edf36913c6da0916e6c1eb48,IF,Vergleichsprüfung mit Fehler- und Erfolgspfad,"Prüft, ob ein bestimmtes Feld nicht einem vorgegebenen Wert entspricht. Bei Ungleichheit wird eine Fehlerbehandlung ausgeführt, sonst eine Erfolgshandlung. Das Muster steuert die Verarbeitung basierend auf dem Vergleichsergebnis.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
7,21923098439d69c9b1e5e25e15ac1bc0f43825ef7fe7fb039f80968bb6bc9530,EVALUATE,Fehlerweiterleitung bei unbekannten Antwortcodes,Das Muster behandelt alle nicht explizit abgefangenen Antwortcodes durch Weiterleitung zu einer Fehlerbehandlungsroutine. Es dient der zentralen Fehlersteuerung bei unerwarteten Antwortwerten. Die Entscheidung basiert ausschließlich auf dem Antwortcode.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
8,4503b33dcc8cc48988afbcc0a44b83caaa512c38996f4ccdd6825aa401c90253,IF,Eingabefeld Bindestrich durch Leerzeichen ersetzen,"Wenn ein bestimmtes Feld den Wert Bindestrich enthält, wird es durch ein Leerzeichen ersetzt. Dies dient der Normalisierung von Eingabedaten. Es handelt sich um eine einfache Ersetzung ohne weitere fachliche Logik.",DATA_VALIDATION,0.9,gpt-4.1-mini,v1
9,18cab32f2ffb510c4ca8655f20a86d91b52ecdd20bd1e4ef59fd302fea2d8c27,EVALUATE,SQLCODE-Auswertung und Rückgabecode-Setzung,Das Muster wertet den SQLCODE aus und setzt einen Rückgabecode entsprechend dem Ergebnis. Es handelt sich um eine direkte Zuordnung von Statuscodes basierend auf SQL-Ergebnissen. Die Regel steuert die Interpretation von Datenbankantworten.,IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
10,5fa643a4c89abdc7a37737a3b1e3571f754ca7ae374fd3033acb885e49b2579b,IF,Ende-des-Monats-Status bei Datumsgleichheit,"Wenn das aktuelle Tagesdatum mit dem Laufdatum übereinstimmt, wird ein End-der-Monat-Status gesetzt. Dies kennzeichnet das Erreichen des Monatsendes im Programmablauf. Die Regel steuert eine Statusmarkierung basierend auf dem Datum.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
11,37e3eb363aac4f51b7a904b1d6416e8498f67eeeec46795f4cc8b1793e59eb33,IF,Prüfung auf fehlende Kommunikationsdaten,"Die Regel prüft, ob keine Kommunikationsdaten empfangen wurden. Bei dieser Bedingung wird eine Fehlermeldung gesetzt und eine Fehlerausgabe ausgeführt. Dies dient der Erkennung und Behandlung fehlender Kommunikationsdaten.",BUSINESS_RULE_CANDIDATE,1,gpt-4.1-mini,v1
12,65479fbd18d91766662bec03b5f83324f3c2e43003a2493cd3aa5deef0864db8,EVALUATE,Technische Wertprüfung ohne Aktion,Das Muster prüft einen einzelnen Wert auf bestimmte Zahlen und führt keine Aktion aus. Es dient als Platzhalter oder zur Strukturierung ohne fachliche Entscheidung. Die Prüfung ist rein technisch und beeinflusst den Programmfluss nicht.,IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
13,7998414eee80c94251876e2b9d3123160840d3cd48c99c5a3af4d6d725c65371,IF,Eingabelängenprüfung mit Rückgabecode,"Prüft, ob eine Länge kleiner als ein erforderlicher Wert ist und setzt bei Bedarf einen Rückgabecode. Diese Regel dient der Erkennung unzureichender Eingabelängen. Es handelt sich um eine einfache Validierung der Eingabedatenlänge.",DATA_VALIDATION,0.95,gpt-4.1-mini,v1
14,35e019b717464acdb097a500ee62c21bb827f7844479d94adcc8df6b47cdeb2a,IF,Fehlercodeprüfung mit Sprung zur Fehlerbehandlung,"Prüft, ob ein Rückgabecode ungleich Null ist. Bei Fehlercode erfolgt ein Sprung zu einer Fehlerbehandlungsroutine. Dient der Steuerung des Programmablaufs bei Fehlern.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
15,d0aade3fc92b7450e2aaf455d1c41c6a0e45f4f4fe4aae9a8bd37cf5f56f875e,IF,Steuerung des Programmablaufs bei positivem Wert,"Das Muster prüft, ob ein Zähler- oder Statuswert größer als Null ist. Bei erfüllter Bedingung wird ein Sprung zu einer bestimmten Programmstelle ausgeführt. Dies dient der Steuerung des Programmablaufs basierend auf einem technischen Statuswert.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
16,3713ed247c7550122cc33db3ea25d4d2f699059d9b243d8e2ca9c7e8788037c4,IF,Bytevergleich mit Wertzuweisung,"Das Muster prüft, ob ein bestimmtes Feld einen definierten Hex-Wert besitzt. Bei Übereinstimmung wird ein entsprechender Wert in ein anderes Feld übertragen. Es handelt sich um eine direkte Zuordnung basierend auf einem Byte-Vergleich.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
17,3efc87b363d72ba2dc87b3d5e6d5ea1c3d81f91adb2d28d1dec9417de1628766,IF,Numerische Grenzprüfung mit identischer Aktion,Das Muster prüft eine numerische Grenze und führt in beiden Fällen dieselbe Datenbewegung aus. Die Bedingung beeinflusst keine unterschiedliche fachliche Verarbeitung. Die Anweisung nach der Prüfung ist identisch.,IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
18,afe2c5d23c67264c6e446d680477cf5f6659f66269ef1fce8dacd1ea92f1e91c,IF,Prüfung und Datenübertragung bei Längenwert,"Das Muster prüft, ob eine Längenangabe größer Null und kleiner als 91 ist. In beiden Fällen wird derselbe Datenbereich in ein Ziel verschoben. Die eingebetteten Blöcke sind technisch neutral und beeinflussen die fachliche Bedeutung nicht.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
19,619d2a992aa3608a696a8449ff1626be9a2d91d9d61ce86aedabe7dc641cc6d9,IF,Numerische Wertprüfung mit Ablaufsteuerung,"Das Muster prüft, ob ein numerischer Wert ungleich einem bestimmten Grenzwert ist. Je nach Ergebnis wird eine von zwei Verarbeitungsroutinen ausgeführt. Es handelt sich um eine einfache Status- oder Wertprüfung mit anschließendem Ablaufzweig.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
20,7a0dcc7a2db50745aced99cbc514e99a334223b42cf85dc975f7a59bcd8eadd9,IF,Prüfung auf erfolgreichen Rückgabecode,"Die Regel prüft, ob ein Rückgabecode den Wert Null hat. Bei Erfolg wird ein Wert in ein Ziel-Feld übertragen und ein Initialisierungs-Flag gesetzt. Dies deutet auf eine erfolgreiche Initialisierung oder Validierung hin.",IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
21,f2579b0c4a2ffc77bb47870f5e283a50d20640db724382a3c3c406276d38d8db,IF,Verarbeitung bei erfolgreichem Rückgabecode,"Die Regel prüft, ob der Rückgabecode den Wert Null hat. Nur bei diesem Wert wird eine Folge von Verarbeitungsroutinen ausgeführt. Dies steuert die Fortsetzung der Verarbeitung nach einer erfolgreichen Operation.",CONTROL_FLOW_TEMPLATE,0.95,gpt-4.1-mini,v1
22,f2edcdaf5fe665828d0c9c9a7d2e773e73bd09e2461a8773345a8a6112b7112e,IF,Technische Entscheidungsstruktur mit zwei Pfaden,Das Muster prüft zwei Felder auf bestimmte Werte und führt je nach Ergebnis unterschiedliche Verarbeitungsroutinen aus. Es handelt sich um eine einfache Entscheidungsstruktur mit zwei möglichen Pfaden. Die Prüfung und Verzweigung sind technisch und ohne erkennbare fachliche Bedeutung.,IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
23,f37ec61a032452bb55400ba785d75110faf83a902ef7c2a56d61be6a2450d62e,EVALUATE,Kartentypzuordnung nach Kontonummer,Das Muster ordnet anhand der Kontonummer eine Kartenart zu. Es handelt sich um eine einfache Zuordnung von Kartenbezeichnungen zu bestimmten Kontonummern. Die Regel trifft eine fachliche Entscheidung über die Kartentypbestimmung.,BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
24,4f55cf9c0aa4ef3da55fa9f02d6e8a4262a3ae075a9de8cd5959f403ff203932,IF,Wertübernahme bei Ungleichheit,"Das Muster vergleicht zwei Werte und übernimmt den jeweils unterschiedlichen Wert in ein Ziel. Es dient dazu, den aktuellen oder neuen Wert in ein Zielfeld zu schreiben. Die Entscheidung basiert auf einem einfachen Ungleichheitsvergleich zweier Datenfelder.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
25,3bbd3e024d0fdf9032003afdf1ca4492e0f8d8d53b10c5778724e698dd8bbda0,IF,Prüfung und Behandlung von Datei- oder Log-Status,Das Muster prüft den Erfolg einer Datei- oder Log-Operation. Bei Fehlern wird eine Fehlermeldung ausgegeben und das Programm beendet. Erfolgreiche Operationen führen zur Fortsetzung ohne Aktion.,IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
26,e5de5c805a4d2b29cce941827873685f6d0fbd82c9460a55a98a4c2f7742de3f,EVALUATE,Auswahl der Verarbeitungsroutine nach Aktionscode,Das Muster steuert die Ausführung von Unterprogrammen basierend auf dem Wert einer Aktionsvariable. Für jeden möglichen Aktionswert wird eine spezifische Verarbeitung gestartet. Es handelt sich um eine Auswahl der Verarbeitungsroutine anhand eines Aktionscodes.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
27,269aba2f4179b89138410e6bc926540e9ef079d4f2c1360b1b3cef0625ae5523,EVALUATE,Jahresabhängige Prozeduraufrufsteuerung,"Das Muster ruft je nach Jahreswert eine spezifische Prozedur auf. Es handelt sich um eine Auswahl basierend auf dem Jahr, die unterschiedliche Verarbeitungsroutinen auslöst. Die Entscheidung erfolgt ausschließlich anhand des Jahreswerts.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
28,c32808f720dd42a77c1767d046946573b532d66dbfe442bd28a81363a0028e23,EVALUATE,Kundenname basierend auf Kontonummer zuweisen,Das Muster weist einer Kundenbezeichnung basierend auf der Kontonummer einen festen Namen zu. Es handelt sich um eine direkte Zuordnung von Kundenname zu spezifischer Kontonummer. Keine weiteren Verzweigungen oder Prüfungen sind enthalten.,BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
29,129fe16b8fda1f78a88a8d6145b91fa77eea12165ee2abda0954677a6b838578,IF,Dateischließung bei Schließaktion,"Das Muster prüft, ob eine Schließaktion ausgelöst wurde, und schließt daraufhin eine Datei. Es handelt sich um eine direkte Steuerung der Dateibehandlung basierend auf einem Steuerungsflag. Die Regel steuert den Ablauf der Dateiverarbeitung.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
30,20a9d5c2cd62ad7902dbcd67282c0a20660af94219ef2987fb13cc6f85173184,IF,Steuerung der Leseaktion mit Schleifenbedingung,"Die Regel prüft, ob eine Leseaktion ausgeführt werden soll. Bei positiver Prüfung wird eine Prozedur zum Einlesen von Datensätzen gestartet. Die Verarbeitung läuft, bis das Dateiende erreicht oder eine Abbruchbedingung erfüllt ist.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
31,9ba07ecf7b721fac5bc9ed9e1cb492984c5d4625f2d4e816ba47a515f0e52efb,EVALUATE,Zuweisung von Anzeigeelement bei Anfragetyp X,"Wenn der Anfragetyp 'X' ist, wird der Elementname in einen Bildschirm- oder Menü-Namen kopiert. Die Regel steuert die Zuweisung von Anzeigeelementen basierend auf dem Anfragetyp. Es handelt sich um eine einfache Auswahl und Wertzuweisung.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
32,a12100ffb2de08246a2a85a6676f8b7e90fcbfc2d6fd61d53d671fe094440162,IF,Verarbeitung von Datensätzen vor Dateiende,"Die Regel prüft, ob das Ende einer Eingabedatei noch nicht erreicht ist. Wenn dies zutrifft, wird ein Eingabedatensatz in eine interne Datenstruktur übernommen. Dies dient der sequentiellen Verarbeitung von Datensätzen aus einer Datei.",CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
33,c266f24ddf6bd04f731887d9d9dffb4642879bf451753aa830367ad0c35456ea,IF,Fehlerprüfung und Verbindungsstatus setzen,Das Muster prüft das Ergebnis einer Datenbankoperation auf Fehler. Bei Fehlern wird eine Fehlerbehandlungsroutine ausgeführt. Andernfalls wird ein Verbindungsstatus als erfolgreich gesetzt.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
34,d44e34a7bf8820a6a015c20adc1198794414c537d843a1dc2d6e91d93537f946,IF,Prüfung und Verarbeitung bei aktivierter Protokollierung,"Die Regel prüft, ob die Protokollierung aktiviert ist. Wenn ja, werden die Länge der Protokollnachricht und die aktuelle Tasknummer gesetzt. Anschließend erfolgt eine technische Verarbeitung im EXEC-Block.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
35,e7ede17dcbc8198938f573abf941d0bb35bbdc580c333e0c77651af3361f3767,IF,Dateiöffnungsprüfung und Initialisierung,"Prüft, ob eine Datei nicht geöffnet ist, und öffnet sie dann. Dabei werden Statusflags für geöffnete Datei und Dateiende gesetzt. Dieses Muster steuert die Initialisierung des Datei-Zugriffs.",CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
36,2a3f79a134d9df0fd04147f6eea0b7b66febfec9abcf8f78a406056936c2bf18,IF,Statuscodeprüfung mit Fehlerbehandlung,"Das Muster prüft, ob ein bestimmter Statuscode ungleich einem definierten Wert ist. Bei Abweichung wird eine Fehlerbehandlungsroutine ausgeführt. Es handelt sich um eine technische Statusprüfung zur Fehlererkennung.",IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
37,64c5135f90c9a50811f4174aa094c74828367b3981a44281ee24bebe927e00f1,IF,Fehlerprüfung und Sprung bei Rückgabecode,"Prüft, ob ein Rückgabecode einen Fehler anzeigt. Bei positivem Wert wird eine Fehlerbehandlung ausgelöst. Dies steuert den Programmfluss zu einer Fehlerbehandlungsroutine.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
38,fff6cd89370748bb7829557b5785ae03d7f2080e8637d16076c989721f46fed1,IF,Gleichheitsprüfung mit bedingtem Sprung,"Das Muster prüft, ob zwei Werte gleich sind und springt bei Übereinstimmung zu einer bestimmten Programmstelle. Es handelt sich um eine einfache Gleichheitsprüfung mit bedingtem Sprung. Diese Struktur dient der Steuerung des Programmablaufs basierend auf Wertvergleichen.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
39,0d20e780f9a3df74b25f2f71f3dbfe08745eb1d91060667c545a3304d304ab6f,EVALUATE,Verarbeitung basierend auf HTTP-Methode,Das Muster steuert die Ausführung von Verarbeitungsroutinen basierend auf dem HTTP-Methodentyp. Für jede HTTP-Methode wird eine spezifische Prozedur aufgerufen. Es handelt sich um eine technische Ablaufsteuerung ohne inhaltliche Validierung.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
40,1817e69b7f9caaa901f6aaedde707ab4cbabfde1920630d35000b68bc3eec8b8,IF,SQLCODE-Prüfung mit Fehlerbehandlung,Das Muster prüft einen SQL-Rückgabecode auf einen bestimmten Wert. Bei Übereinstimmung wird ein spezifischer Rückgabecode gesetzt. Andernfalls wird ein Fehlercode gesetzt und eine Fehlerbehandlungsroutine ausgeführt.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
41,1f3d3c73fcf56240c78555b93d56879483426591e10affe6588d902675d83820,EVALUATE,Verarbeitung bei positivem Antwortcode,Bei einem bestimmten Antwortcode wird ein Rückgabewert auf Null gesetzt und die Verarbeitung zu einem definierten Programmabschnitt verzweigt. Dies dient der Steuerung des Programmflusses nach erfolgreicher Antwort. Die Regel behandelt die Reaktion auf einen spezifischen Statuswert.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
42,1f97ebe358aae1e045e06e021893247d6e27e35bd06d69c5b537aaa06b0b39af,IF,Verarbeitung bis Dateiende prüfen,"Die Regel prüft, ob das Ende einer Eingabedatei noch nicht erreicht ist. Wenn dies zutrifft, werden Textdaten in Ausgabestrukturen übertragen und ausgegeben. Dies steuert die Verarbeitung von Datensätzen bis zum Dateiende.",CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
43,3f08f87f7a75660e40b6bd2bd025f03040786d0aab742cdd3bf5dfc522c41af3,EVALUATE,Fehlerbehandlung bei unerwartetem SQL-Code,Das Muster behandelt unerwartete SQL-Rückgabewerte. Bei allen nicht explizit behandelten Fällen wird ein Fehlercode gesetzt und eine Fehlermeldung ausgegeben. Dies dient der Fehlerbehandlung bei Datenbankoperationen.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
44,42c8804b2526447211faf5a6125d4c6af7d81fc004d003065b43e50ef848841b,IF,Verarbeitung bei Nicht-Dateiende,"Die Regel prüft, ob das Ende einer Eingabedatei noch nicht erreicht ist. Wenn dies zutrifft, wird ein Textabschnitt in eine Ausgabestruktur kopiert und ein Statusfeld geleert. Dies dient der Steuerung der Datenverarbeitung basierend auf dem Datei-Ende.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
45,4643ab546adde2330242a8875268b15eff5932aa2a0de4630030668d51f7055b,IF,Übertragung des 'NULL'-Werts bei Feldvergleich,"Wenn ein bestimmtes Feld den Wert 'NULL' hat, wird dieser Wert auf ein anderes Feld übertragen. Dies dient der Kennzeichnung oder Weitergabe eines speziellen Zustands. Die Regel behandelt ausschließlich den Wert 'NULL'.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
46,4cfa46e522dd4d14935ffcf636d7f9ac86932ec9ddf9d527312686c26310f0fb,IF,Ungleichheitsprüfung mit Sprung,"Das Muster prüft, ob zwei Werte ungleich sind, und springt bei Ungleichheit zu einer anderen Programmstelle. Es handelt sich um eine einfache Steuerung des Programmflusses basierend auf einem Vergleich. Diese Struktur dient der technischen Ablaufsteuerung ohne fachliche Berechnung.",CONTROL_FLOW_TEMPLATE,0.95,gpt-4.1-mini,v1
47,d7de89c7fca99d8e39ace4da7406d66a38b2d39f6f0097896b461fcb9af6a84f,IF,Prüfung auf positiven Leerzeichen-Zähler,"Das Muster prüft, ob ein Zähler für Leerzeichen größer als Null ist. Es erfolgt keine weitere Aktion bei erfüllter Bedingung. Dies ist eine technische Prüfung ohne fachliche Entscheidung.",IDIOM_PATTERN,0.9,gpt-4.1-mini,v1
48,1006c105774d9743e4d9972a03b90b6fb9e74aad85d53207325aa4bf4fab7b6f,EVALUATE,Spielzug-Auswahl basierend auf Eingabewert,"Das Muster ordnet basierend auf einem Eingabewert eine Spielauswahl zu. Es übersetzt numerische Eingaben in Spielzüge wie Stein, Schere oder Papier. Die Regel beschreibt eine einfache Auswahlentscheidung im Spielkontext.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
49,1d95c744ae02fff72f3dd68dc1ae5629f53662b0a66029769a7457a2c1e736c1,IF,Feste Stringvergleichsentscheidung mit Ausgabe,Die Regel trifft eine Entscheidung basierend auf dem Vergleich eines Eingabewerts mit einem festen String. Je nach Ergebnis wird eine entsprechende Ausgabe oder ein Wert gesetzt. Dies dient der Auswahl zwischen zwei fest definierten Alternativen.,BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
50,1ecdab08f2343d18b7202a2160171e7a378c551c6d7030ac80e0a658536b77fa,EVALUATE,Jahresbasierte Routinenaufrufsteuerung,Das Muster wählt eine Verarbeitungsroutine basierend auf dem Jahr aus. Für jedes Jahr wird eine spezifische Prozedur mit denselben Parametern aufgerufen. Es handelt sich um eine technische Steuerung der Programmlogik nach Jahreswert.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
51,3a192ae36a6dc55f1e55a79449df1f06b8cc7bbab263532a2828f0985c94e8d8,IF,Ende-des-Monats-Indikator bei Tag 29,"Wenn der Tageswert 29 ist, wird ein End-der-Monat-Indikator gesetzt. Dies dient zur Markierung eines speziellen Datumszustands. Die Regel prüft explizit auf den 29. Tag und setzt ein Kennzeichen.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
52,45f7746f04abd272a685f94d1ff10bd5bfe8548a381ec7b6f62486ecda9819d6,IF,Validierung von Pflichtfeldern in Adressdaten,Prüfung auf leere oder nicht gesetzte Adressfelder. Bei fehlenden Werten wird eine Fehlermeldung gesetzt und die Verarbeitung abgebrochen. Dies dient der Validierung von Pflichtfeldern in der Eingabe.,DATA_VALIDATION,1,gpt-4.1-mini,v1
53,9877d4a98fc396d7ee65c10c0d458095c7073bb0e111e93344359d5e9457d340,IF,Steuerung bei aktiver Datenbankverbindung,"Die Regel prüft, ob eine Datenbankverbindung besteht. Bei bestehender Verbindung werden zwei Verarbeitungsroutinen ausgeführt, darunter eine zum Trennen der Verbindung. Dies steuert den Ablauf bei aktiver Datenbankverbindung.",CONTROL_FLOW_TEMPLATE,0.95,gpt-4.1-mini,v1
